Monster Name,Climate/Terrain,Frequency,Organization,Activity Cycle,Diet,Intelligence,Treasure,Alignment,No. Appearing,Armor Class,Movement,Hit Dice,THAC0,No. of Attacks,Damage/Attack,Special Attacks,Special Defenses,Magic Resistance,Size,Morale,XP Value
Aarakocra,Tropical and temperate mountains,Very rare,Tribal,Day,Carnivore,Average (8-10),D,Neutral good,1d10,7,"6, Fl 36 (C)",1+2,19,2,1-3/1-3 or 2-8 (weapon),Dive +4,Nil,Nil,M (20' wing span),Steady (11),65
Aballin,Temperate or tropical/wilderness or subterranean,Uncommon,Solitary,Any,Omnivore,Average (8-10),1,Neutral,1d4,4,"6, Sw 15",3,17,1,See below,Drowning,See below,Nil,L (10' tall),Elite (13-14),270
Aboleth,Tropical and temperate/Subterranean,Very rare,Brood,Night,Omnivore,High (13-14),F,Lawful evil,1d4,4,"3, Sw 18",8,13,4,1-6 (x4),See below,Slime,Nil,H (20' long),Elite (13),"5,000"
"Aboleth, Savant",Subterranean,Very rare,Brood/Community,Any (night),Omnivore,Exceptional to Supra-genius (15-19),"Nil (F, U)",Lawful evil,1,2,"3, Sw 18",12+12,7,4,1d6 + special (x4),"Spells, aboleth glyphs, frenzy, domination, tentacle toxin","Spells, aboleth glyphs, slime, mucus cloud, detect invisible (75% chance within 60')",Nil,H (20' long),Champion (16),"13,000
Spellcaster 9+ level 14,000
Comp. Master Glyph creator 15,000"
Abyss Ant,"The Abyss, or temperate forests, hills, and plains of the Prime Material Plane",Uncommon (Abyss) or very rare (Prime),Colony,Any,Carnivore,Low (5-7),Nil,Neutral evil,5d6 (½10),3,18,3,17,2,1d6 (bite)/1d6+2 (sting),Spit acid,See below,Nil,S (2' long),Fearless (19-20),175
Addazahr,"Tropical, subtropical, and temperate/Desert, hills, plains",Uncommon,Swarm,Day,Omnivore,Animal (1),Nil,Neutral,22068,4,"6, Fl 18 (B)",1 hp,20,1,1 + disease,Disease,Nil,Nil,T (2&rdquo; long),Unsteady (6),15
Afanc,Warm ocean waters,Very rare,Solitary,Any,Carnivore,Low (5-7),See below,Neutral (evil),1,6,Sw 15 (see below),15,5,1 or 2,5d4 or 3d4/3d4,"Whirlpool, swallows whole",Nil,Nil,G (50' long),Elite (13),"11,000"
Alaghi,Temperate/mountainous forests,Very rare,Family groups,Any,Omnivore,Low (5-7),"I (no coins),Q",Neutral,45327,4,12,9,11,2,2-12/2-12 or by weapon type (+5 Strength bonus),Missile weapons,Stealth,Nil,L (6' tall with large girth),Steady (11-12),"Adult: 2,000<br>Young: 120<br>Elder: 5,000<br>Hermit: 6,000<br>"
Albari,Any,Very rare,Solitary,Any,Omnivore,Exceptional (15-16),Any or nil,Chaotic neutral,1,8,"1, Fl 33 (B)",6,15,2,1-3/1-3 or 1-2/1-3,See below,See below,75%,S (3-4' tall),Steady (11-12),"4,000"
Alhoon,Any,Very rare,Community or solitary,Any,Special,Genius (17-18),"S,T,V&times;3,X, (V&times;6)",Neutral evil,45295,5,12,8+4,11,4,1d4 + Special,"Mind blast, spell use",Nil,90%,M (6' tall),Fanatic (17-18),"9,000"
Al-Jahar,Warm Urban Areas,Very rare,Solitary,Any,Special,Very (11-12),"O,Q",Neutral evil,1,8,"12, Fl 12 (B)",5,15,2,1d6/1d6,Spell use,Disguise,20%,M (5-7' tall),Unsteady (5-7),"3,000"
Ambuchar Devayam/Tan Chin,Any,Unique,Solitary or city,"Any, prefers night",Omnivore,Supra-genius (19),G,Lawful evil,1,0,12,12 (75 hp),9,2,1d10/gaze,See below,See below,40%,M (6' Tall),Fearless (20),"20,00"
Amiq Rasol,Sea coast,Very rare,Solitary,Any,Special,High (13-14),Nil (C),Neutral evil or neutral,45301,4,"18, Sw 9",9,11,3,"1d4/1d4 (claws), 1d6 (bite)","Energy drain, charm","+2 or better weapon to hit, spell immunities.",Nil,M (5'-6'),Elite (14),"7,000"
Ancestors,Any/Sacred Mountains,Uncommon,,Any,Sacrifices,14,,Any lawful,4- 400,10,10,1,20,1,By traditional weapon,Nil,+1 or better to hit,Nil,M,Champion (15-16),60
Ancient Mariner,Phlogiston,Very rare,Crew,Any,,Very (11-12),H,Chaotic evil,45297,4,9,5+3,15,1,6-Jan,Energy drain,See below,Nil,M (5' tall),Elite (14),"2,000<br>Captain: 3,000<br>Mariner shadow: 650"
Anguiliian,Temperate and Tropical Deep Ocean,Very rare,Tribe,Night,Carnivore,Average (8-10),"(I,O,P,Q&times;10,X,Y)",Lawful evil,5-20 (10-60),4,"9, Sw 18",3,17,4,1d4/1d4/2d4+1/2d6,"Drill, clench, rake, dart","Immune to electricity, susceptible to fire",Nil,M (6'),Average (8-10),270<br>Chieftain: 650
Ankheg,Temperate and tropical/Plains and forests,Rare,Brood,Any,Omnivore,Non- (0),C,Neutral,1d6,"Overall 2, underside 4","12, Br 6",3 to 8,"3-4 HD: 17
5-6 HD: 15
7-8 HD: 13",1,3-18 (crush)+1-4 (acid),"Squirt acid: 30ft range, 1/6 hours, 8d4",Nil,Nil,L-H (10-20' long),Average (9),175-975
"Ant Lion, Giant","Tropical and temperate/Mountains, hills, and plains",Rare,Solitary,Any,Carnivore,Animal (1),See below,Neutral,1,2,"9, Br 1 (in loose soil)",8,12,1,20-May,See below,Nil,Nil,L (10' long),Average (8),"1,400"
"Ape, Carnivorous","Tropical/Forest, hills, and plains",Rare,Family,Day,Carnivore,Low (7),C,Neutral,45330,6,"12, 9 in trees",5,15,3,1-4/1-4/1-8,Rending,+2 bonus: to surprise roll,Nil,"L (7'+, very broad)",Steady (11),175
